Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Construction,In-Progress,10/17/2016,06/08/2018,,6633000,$6212675.00,$3635527.00,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,"CM, F&E",In-Progress,10/17/2016,06/08/2018,,412720,$361938.00,$361128.00,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,$30000.00,$0.00,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,$440000.00,$0.00,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,$30000.00,$0.00,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,02/15/2017,F&E,10/02/2017,100000,$100000.00,$99895.00,DSF: 0000844288
15,K088,I.S. 88 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,06/21/2017,07/21/2017,,60000,$57951.00,$57951.00,DSF: 0000844875
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Scope,Complete,01/25/2017,06/09/2017,02/08/2017,67910,$186152.00,$140526.00,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Design,In-Progress,02/10/2017,07/13/2017,,270138,$279256.00,$134323.00,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,4930293,$4930293.00,$14159.00,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,336434,$336434.00,$22609.00,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,24000,$24000.00,$0.00,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,352000,$352000.00,$0.00,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,24000,$24000.00,$0.00,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA IEH,"IEH PO18-RM 413A -BATHROOM, RM 309 -COMPUTER RM CL",Construction,In-Progress,11/10/2016,IEH,,IEH,$10251.00,$1751.00,DSF: 0000043648
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-RM 302,Construction,Complete,04/21/2017,IEH,07/15/2017,IEH,$33424.00,$1248.00,DSF: 0000046346
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-HALLWAY & STAIRWELLS ON 2ND FL,Construction,In-Progress,08/09/2017,IEH,,IEH,$7836.00,$436.00,DSF: 0000048066
15,K094,P.S. 94 - BROOKLYN,SCA IEH,"IEH PO18-RM 212,205,203,201",Construction,Complete,08/22/2017,IEH,08/24/2017,IEH,$46026.00,$6930.00,DSF: 0000048326
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-VESTIBULE,Construction,In-Progress,12/15/2017,IEH,,IEH,$20762.00,$1486.00,DSF: 0000049826
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Scope,Complete,05/05/2017,09/20/2017,11/06/2017,60445,$70689.00,$37430.00,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Design,In-Progress,11/29/2017,05/02/2018,,239847,$239847.00,$8321.00,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Construction,PNS,PNS,PNS,PNS,4323727,$4323727.00,$1706.00,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,307188,$307188.00,$6611.00,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/21/2017,07/21/2017,09/26/2017,35000,$34737.00,$34737.00,DSF: 0000845214
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Scope,Complete,04/27/2015,09/10/2015,11/02/2015,87193,$92975.00,$88660.00,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Design,Complete,12/08/2015,05/10/2016,07/12/2016,326362,$240527.00,$183399.00,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Construction,In-Progress,07/10/2017,10/02/2018,,4107567,$3675766.00,$36525.00,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,"CM, F&E",In-Progress,07/10/2017,10/02/2018,,698295,$15572.00,$15572.00,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,06/22/2017,08/22/2017,07/28/2017,0,$1959.00,$1959.00,DSF: 0000822899
15,K124,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,Complete,08/09/2017,11/06/2017,10/24/2017,12000,$7944.00,$7944.00,DSF: 0000822899
15,K124,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,176000,$176000.00,$0.00,DSF: 0000822899
15,K124,P.S. 121 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,12000,$12000.00,$2410.00,DSF: 0000822899
15,K124,P.S. 124 SILAS B. DUTCHER,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/26/2017,01/25/2018,,125000,$124060.00,$124060.00,DSF: 0000845215
15,K130,P.S. 130 - BROOKLYN,SCA CIP,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,Scope,Complete,02/21/2014,07/08/2014,06/20/2014,195166,$209264.00,$209239.00,"DSF: 0000779686, 0000803012, 0000803013"
15,K130,P.S. 130 - BROOKLYN,SCA CIP,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,Design,Complete,12/22/2014,05/26/2015,05/15/2015,770803,$487703.00,$339157.00,"DSF: 0000779686, 0000803012, 0000803013"
15,K130,P.S. 130 - BROOKLYN,SCA CIP,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,Construction,In-Progress,12/12/2016,10/02/2018,,13567567,$12224391.00,$4762181.00,"DSF: 0000779686, 0000803012, 0000803013"
15,K130,P.S. 130 - BROOKLYN,SCA CIP,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,"CM, F&E",In-Progress,12/12/2016,10/02/2018,,1038961,$353830.00,$352846.00,"DSF: 0000779686, 0000803012, 0000803013"
15,K130,P.S. 130 - BROOKLYN,SCA IEH,IEH PO18-RM 304,Construction,Complete,10/13/2017,IEH,10/21/2017,IEH,$27286.00,$2820.00,DSF: 0000049007
15,K130,P.S. 130 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$277505.00,$0.00,DSF: 0000776750
15,K130,P.S. 130 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/19/2017,07/19/2017,10/05/2017,35000,$34737.00,$34737.00,DSF: 0000845216
15,K130,P.S. 130 - BROOKLYN,DOE - Skilled Trades,WATER HEATER REPLACEMENT,Construction,In-Progress,02/09/2017,DOES,,DOES,$51799.00,$0.00,DSF: 0000866084
15,K130,P.S. 130 - BROOKLYN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,50000,$50000.00,$0.00,DSF: 0000867344
15,K130,P.S. 130 - BROOKLYN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,150000,$150000.00,$0.00,DSF: 0000867344
15,K130,P.S. 130 - BROOKLYN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,500000,$500000.00,$0.00,DSF: 0000867344
15,K130,P.S. 130 - BROOKLYN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,135000,$135000.00,$0.00,DSF: 0000867344
15,K131,P.S. 131 - BROOKLYN,SCA CIP,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,Scope,Complete,06/12/2014,10/28/2014,11/12/2014,204472,$206545.00,$173360.00,"DSF: 0000779700, 0000803027, 0000803029, 0000803030"
15,K131,P.S. 131 - BROOKLYN,SCA CIP,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,Design,Complete,01/30/2015,07/01/2015,08/10/2015,810571,$596715.00,$23405.00,"DSF: 0000779700, 0000803027, 0000803029, 0000803030"
15,K131,P.S. 131 - BROOKLYN,SCA CIP,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,06/26/2017,03/17/2019,,14541757,$13342562.00,$59184.00,"DSF: 0000779700, 0000803027, 0000803029, 0000803030"
15,K131,P.S. 131 - BROOKLYN,SCA CIP,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,06/26/2017,03/17/2019,,1049286,$161558.00,$160844.00,"DSF: 0000779700, 0000803027, 0000803029, 0000803030"
15,K131,P.S. 131 - BROOKLYN,SCA IEH,"IEH PO18-ROOMS 214, 218, 220, 225, 228",Construction,Complete,10/16/2014,IEH,09/30/2017,IEH,$447.00,$447.00,DSF: 0000032335
15,K131,P.S. 131 - BROOKLYN,SCA IEH,"IEH PO18-ROOMS 212, 325, 329, 421, 428",Construction,Complete,04/18/2016,IEH,09/30/2017,IEH,$1249.00,$749.00,DSF: 0000040925
15,K131,P.S. 131 - BROOKLYN,SCA IEH,IEH PO18-GYM'S CEILING,Construction,Complete,07/18/2017,IEH,07/22/2017,IEH,$43029.00,$3712.00,DSF: 0000047726
15,K131,P.S. 131 - BROOKLYN,DCAS/NYPA,HIGH EFFICIENCY LIGHTING SYSTEM,Construction,Complete,05/26/2015,05/26/2017,05/26/2017,149203,$149203.00,$149203.00,DSF:
15,K131,P.S. 131 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$304442.00,$0.00,DSF: 0000776751
15,K131,P.S. 131 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,04/10/2017,01/15/2018,07/12/2017,35000,$34737.00,$34737.00,DSF: 0000845217
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,Scope,Complete,04/24/2014,08/25/2014,07/09/2014,27197,$36262.00,$13935.00,"DSF: 0000779760, 0000803089"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,Design,Complete,04/24/2015,09/24/2015,11/19/2015,108279,$78717.00,$11738.00,"DSF: 0000779760, 0000803089"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,1984269,$1984269.00,$15946.00,"DSF: 0000779760, 0000803089"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,133581,$133581.00,$30427.00,"DSF: 0000779760, 0000803089"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ROOFS/DEFECTIVE ENTRY STEPS,Scope,Complete,06/21/2017,11/06/2017,12/20/2017,60413,$54680.00,$27666.00,"DSF: 0000847483, 0000847491"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ROOFS/DEFECTIVE ENTRY STEPS,Design,PNS,PNS,PNS,PNS,239696,$239696.00,$93513.00,"DSF: 0000847483, 0000847491"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ROOFS/DEFECTIVE ENTRY STEPS,Construction,PNS,PNS,PNS,PNS,4318405,$4318405.00,$0.00,"DSF: 0000847483, 0000847491"
15,K136,I.S. 136 - BROOKLYN,SCA CIP,ROOFS/DEFECTIVE ENTRY STEPS,"CM, F&E",PNS,PNS,PNS,PNS,307409,$307409.00,$1978.00,"DSF: 0000847483, 0000847491"
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GYMNASIUM UPGRADE,Scope,Complete,01/14/2016,05/16/2016,02/23/2016,0,$7407.00,$7407.00,DSF: 0000822812
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GYMNASIUM UPGRADE,Design,Complete,02/23/2016,07/07/2016,06/06/2016,23178,$36991.00,$36991.00,DSF: 0000822812
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GYMNASIUM UPGRADE,Construction,Complete,08/29/2016,03/26/2017,07/20/2017,339942,$290726.00,$216135.00,DSF: 0000822812
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GYMNASIUM UPGRADE,"CM, F&E",Complete,08/29/2016,03/26/2017,07/20/2017,23178,$40974.00,$33482.00,DSF: 0000822812
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GREENHOUSE,Scope,PNS,PNS,PNS,PNS,0,$8656.00,$1891.00,DSF: 0000823592
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GREENHOUSE,Design,PNS,PNS,PNS,PNS,1710,$4905.00,$4905.00,DSF: 0000823592
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GREENHOUSE,Construction,PNS,PNS,PNS,PNS,25080,$31350.00,$8198.00,DSF: 0000823592
15,K136,I.S. 821 - BROOKLYN,SCA CIP RESOA,FY16 RESO A GREENHOUSE,"CM, F&E",PNS,PNS,PNS,PNS,1710,$4211.00,$4211.00,DSF: 0000823592
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,01/24/2017,03/24/2017,03/14/2017,0,$6948.00,$6948.00,DSF: 0000844877
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,Complete,03/14/2017,08/11/2017,05/15/2017,11551,$27792.00,$23592.00,DSF: 0000844877
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,06/30/2017,01/25/2018,,169411,$152230.00,$3430.00,DSF: 0000844877
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",In-Progress,06/30/2017,01/25/2018,,11551,$15968.00,$8963.00,DSF: 0000844877
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,In-Progress,12/12/2017,02/12/2018,,0,$342.00,$342.00,DSF: 0000867217
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,24000,$23658.00,$1366.00,DSF: 0000867217
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,352000,$352000.00,$0.00,DSF: 0000867217
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,24000,$24000.00,$0.00,DSF: 0000867217
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,Scope,Complete,01/24/2017,05/09/2017,03/14/2017,0,$19584.00,$19584.00,"DSF: 0000844879, 0000844880"
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,Design,Complete,03/14/2017,08/11/2017,05/12/2017,61290,$74957.00,$57929.00,"DSF: 0000844879, 0000844880"
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,Construction,In-Progress,08/03/2017,08/02/2018,,898920,$863707.00,$277408.00,"DSF: 0000844879, 0000844880"
15,K136,I.S. 136 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,"CM, F&E",In-Progress,08/03/2017,08/02/2018,,61290,$26263.00,$25844.00,"DSF: 0000844879, 0000844880"
15,K136,I.S. 136 - BROOKLYN,SCA IEH,"IEH PO18-STAIRS #4, STAIRS #5",Construction,In-Progress,12/01/2015,IEH,,IEH,$11798.00,$798.00,DSF: 0000039143
15,K136,I.S. 136 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,04/26/2017,01/15/2018,08/22/2017,60000,$59547.00,$59547.00,DSF: 0000844274
15,K142,P.S. 146 - BROOKLYN,SCA CIP,FALLING MASONRY,Scope,Complete,05/17/2016,09/30/2016,11/16/2016,63340,$58386.00,$51765.00,DSF: 0000866757
15,K142,P.S. 146 - BROOKLYN,SCA CIP,FALLING MASONRY,Design,Complete,02/03/2017,07/06/2017,06/28/2017,253358,$198299.00,$170301.00,DSF: 0000866757
15,K142,P.S. 146 - BROOKLYN,SCA CIP,FALLING MASONRY,Construction,PNS,PNS,PNS,PNS,4750467,$4750467.00,$1427.00,DSF: 0000866757
15,K142,P.S. 146 - BROOKLYN,SCA CIP,FALLING MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,295585,$295585.00,$11575.00,DSF: 0000866757
15,K142,P.S. 146 - BROOKLYN,SCA CIP RESOA,FY17 RESO A GREEN ROOF CLASSROOM,Scope,Complete,02/14/2017,06/29/2017,03/21/2017,0,$206.00,$206.00,DSF: 0000845594
15,K142,P.S. 146 - BROOKLYN,SCA CIP RESOA,FY17 RESO A GREEN ROOF CLASSROOM,Design,PNS,PNS,PNS,PNS,36900,$164895.00,$823.00,DSF: 0000845594
15,K142,P.S. 146 - BROOKLYN,SCA CIP RESOA,FY17 RESO A GREEN ROOF CLASSROOM,Construction,PNS,PNS,PNS,PNS,541200,$2421482.00,$0.00,DSF: 0000845594
15,K142,P.S. 146 - BROOKLYN,SCA CIP RESOA,FY17 RESO A GREEN ROOF CLASSROOM,"CM, F&E",PNS,PNS,PNS,PNS,36900,$165101.00,$831.00,DSF: 0000845594
4,M057,P.S. 57 - MANHATTAN,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,3000,$3000.00,$0.00,DSF: 0000867410
4,M057,P.S. 57 - MANHATTAN,SCA IEH,IEH PO18-2ND & 3RD FL HALLWAYS,Construction,Complete,09/29/2016,IEH,08/21/2017,IEH,$198278.00,$5206.00,DSF: 0000043127
4,M057,P.S. 57 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$353609.00,$0.00,DSF: 0000777088
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,03/06/2015,06/19/2015,06/19/2015,21568,$19847.00,$19847.00,DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,06/30/2015,12/02/2015,08/18/2016,79081,$60666.00,$60102.00,DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,11/14/2016,08/10/2017,08/08/2017,837542,$808337.00,$674298.00,DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,11/14/2016,08/10/2017,08/08/2017,239878,$297018.00,$288527.00,DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Scope,Complete,12/10/2013,09/29/2014,09/29/2014,234116,$138330.00,$138330.00,"DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Design,Complete,09/29/2014,02/18/2015,01/09/2015,920994,$577832.00,$577832.00,"DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Construction,Complete,09/21/2015,09/19/2017,09/19/2017,15880494,$15196174.00,$14529752.00,"DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,"CM, F&E",Complete,09/21/2015,09/19/2017,09/19/2017,1293612,$837905.00,$836747.00,"DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA IEH,IEH PO18-ROOM 207,Construction,Complete,05/24/2017,IEH,08/23/2017,IEH,$37485.00,$2526.00,DSF: 0000046933
4,M072,P.S. 72 - MANHATTAN,SCA IEH,IEH PO18-ROOM 308,Construction,Complete,09/01/2017,IEH,11/25/2017,IEH,$35038.00,$6432.00,DSF: 0000048526
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,06/18/2015,11/03/2015,11/04/2015,128775,$144415.00,$140588.00,DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,12/02/2015,05/19/2016,04/04/2017,515100,$623034.00,$504791.00,DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,07/31/2017,01/21/2019,,9658125,$8841882.00,$425136.00,DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM, F&E",In-Progress,07/31/2017,01/21/2019,,600950,$189565.00,$186888.00,DSF: 0000822096
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866427
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,$7500.00,$0.00,DSF: 0000866427
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,$110000.00,$0.00,DSF: 0000866427
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,$7500.00,$0.00,DSF: 0000866427
4,M083,P.S. 182 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/19/2017,01/15/2018,07/26/2017,100000,$99249.00,$99249.00,DSF: 0000844410
4,M083,P.S. 182 - MANHATTAN,DOE- RESOA,FY16 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,07/27/2016,DOER,,150000,$27591.00,$27591.00,DSF: 0000822278
4,M096,P.S. 96 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866421
4,M096,P.S. 96 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,6000,$6000.00,$0.00,DSF: 0000866421
4,M096,P.S. 96 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,$88000.00,$0.00,DSF: 0000866421
4,M096,P.S. 96 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,6000,$6000.00,$0.00,DSF: 0000866421
4,M096,P.S. 96 - MANHATTAN,SCA IEH,IEH PO18-1ST FL & 2ND FL BOYS AND GIRLS BATHROOMS,Construction,Complete,07/05/2017,IEH,08/26/2017,IEH,$27260.00,$4846.00,DSF: 0000047505
4,M096,P.S. 96 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$280442.00,$0.00,DSF: 0000777109
4,M096,P.S. 96 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,$170000.00,$1088.00,DSF: 0000866000
4,M099,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,INTERIOR STAIRS,Scope,Complete,08/28/2015,12/28/2015,01/19/2016,30675,$29955.00,$29656.00,DSF: 0000822240
4,M099,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,INTERIOR STAIRS,Design,Complete,02/26/2016,07/27/2016,12/21/2016,122700,$142535.00,$129560.00,DSF: 0000822240
